2025-12-02 02:46:08 [LEO Monitor] Polling started. Interval=1.0s
2025-12-02 02:48:27 Window 029 | Rate:     0.00 Bps | EWMA:     3.66 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:28 Window 030 | Rate:     0.00 Bps | EWMA:     3.29 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:29 Window 031 | Rate:    69.97 Bps | EWMA:     9.96 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:30 Window 032 | Rate:     0.00 Bps | EWMA:     8.96 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:31 Window 033 | Rate:     0.00 Bps | EWMA:     8.07 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:32 Window 034 | Rate:     0.00 Bps | EWMA:     7.26 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:33 Window 035 | Rate:     0.00 Bps | EWMA:     6.53 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:34 Window 036 | Rate:   977.71 Bps | EWMA:   103.65 Bps | RTT:    0.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:35 Window 037 | Rate:  1699.21 Bps | EWMA:   263.21 Bps | RTT:    0.0ms | SYN:  N/A | UDP:   6.0 pps | ICMP:   5.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:36 Window 038 | Rate:  1329.34 Bps | EWMA:   369.82 Bps | RTT:    0.1ms | SYN:  N/A | UDP:  10.0 pps | ICMP:   1.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:36 --> LEO CONGESTION! Rate=1329.34 Bps > UCL=665.68 Bps for 3 windows.
2025-12-02 02:48:36 [VIRTUAL MITIGATION] Set rate limit to 5.0 Mbps
2025-12-02 02:48:37 Window 039 | Rate:  1499.14 Bps | EWMA:   482.75 Bps | RTT:    0.1ms | SYN:  N/A | UDP:   7.0 pps | ICMP:   1.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:38 Window 040 | Rate:  1795.13 Bps | EWMA:   613.99 Bps | RTT:    0.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:39 Window 041 | Rate:  1641.58 Bps | EWMA:   716.75 Bps | RTT:    0.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:40 Window 042 | Rate:  1717.48 Bps | EWMA:   816.82 Bps | RTT:    0.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:41 Window 043 | Rate:  1679.99 Bps | EWMA:   903.14 Bps | RTT:    0.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:42 Window 044 | Rate:  1792.94 Bps | EWMA:   992.12 Bps | RTT:    0.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:43 Window 045 | Rate:  1846.16 Bps | EWMA:  1077.52 Bps | RTT:    0.1ms | SYN:  N/A | UDP:   5.0 pps | ICMP:   4.0 pps | HTTP:   0.0 req/s | State: recovering
2025-12-02 02:48:44 Window 046 | Rate:  4507.64 Bps | EWMA:  1420.53 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   2.0 pps | ICMP:   2.0 pps | HTTP:   1.0 req/s | State: recovering
2025-12-02 02:48:45 Window 047 | Rate:  9896.80 Bps | EWMA:  2268.16 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: recovering
2025-12-02 02:48:46 Window 048 | Rate:  8645.12 Bps | EWMA:  2905.86 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:46 --> LEO CONGESTION! Rate=8645.12 Bps > UCL=5230.54 Bps for 3 windows.
